"UTM Source","UTM Medium","UTM Campaign","UTM Content","UTM Term","Конверсия ([PRO] Рега на марафон запуск 2 - JS Отправка формы)","Достижения цели ([PRO] Рега на марафон запуск 2 - JS Отправка формы)","Целевые визиты ([PRO] Рега на марафон запуск 2 - JS Отправка формы)","Доход по цели ([PRO] Рега на марафон запуск 2 - JS Отправка формы), RUB","Целевые посетители ([PRO] Рега на марафон запуск 2 - JS Отправка формы)","Роботность ([PRO] Рега на марафон запуск 2 - JS Отправка формы)","Отказы ([PRO] Рега на марафон запуск 2 - JS Отправка формы)","Глубина просмотра ([PRO] Рега на марафон запуск 2 - JS Отправка формы)","Время на сайте ([PRO] Рега на марафон запуск 2 - JS Отправка формы)"
"vk_market","Orange","gr_1","t24_k46.1","Не определено","0.5","15","15","0.0","15","0.0","0.0","5.533333333333333","00:02:32"
"vk_market","Orange","gr_40","t26_k76","Не определено","0.46875","15","15","0.0","15","0.0","0.0","4.533333333333333","00:02:26"
"vk_market","Orange","gr_40","t43.4_k40","Не определено","0.5357142857142857","15","15","0.0","15","0.0","0.0","5.133333333333334","00:01:47"
"vk_market","Orange","gr_9","t5_k26.1","Не определено","0.41666666666666674","15","15","0.0","15","0.0","0.0","4.0","00:01:35"
"vk","Orange","1029934803","174667894","Не определено","0.4","14","14","0.0","14","0.0","0.0","5.142857142857143","00:05:01"
"vk_market","Orange","gr_13","t28.4_k63","Не определено","0.38888888888888895","14","14","0.0","13","0.0","0.0","5.428571428571429","00:01:52"
"vk_market","Orange","gr_17","t28.4_k63","Не определено","0.3783783783783784","15","14","0.0","14","0.0","0.0","5.642857142857143","00:02:25"
"vk_market","Orange","gr_22","t28.4_k63","Не определено","0.25","15","14","0.0","14","0.0","0.0","5.5","00:01:53"
"vk_market","Orange","gr_37","t26_k76","Не определено","0.5","14","14","0.0","14","0.0","0.0","4.285714285714286","00:01:30"
"vk_market","Orange","gr_5","t5_k26.1","Не определено","0.32558139534883723","14","14","0.0","14","0.0","0.0","6.0","00:02:33"
"vk_market","Orange","gr_6","t26_k76","Не определено","0.2978723404255319","14","14","0.0","14","0.0","0.0","5.357142857142857","00:02:38"
"vk_market","Orange","gr_8","t26_k76","Не определено","0.358974358974359","14","14","0.0","14","0.0","0.0","5.428571428571429","00:01:37"
"yandex_ilvina","cpc","107644242","15861952858","---autotargeting","0.07692307692307693","14","14","0.0","14","0.0","0.0","6.428571428571429","00:05:14"
"vk","Orange","1030054675","176407362","Не определено","0.5652173913043478","13","13","0.0","13","0.0","0.0","3.769230769230769","00:02:15"
"vk_market","Orange","gr_11","t26_k76","Не определено","0.48148148148148145","16","13","0.0","13","0.0","0.0","6.3076923076923075","00:02:48"
"vk_market","Orange","gr_19","t43.4_k40","Не определено","0.52","13","13","0.0","13","0.0","0.0","6.769230769230769","00:04:18"
"vk_market","Orange","gr_35","t26_k76","Не определено","0.5652173913043478","15","13","0.0","13","0.0","0.0","5.769230769230769","00:02:58"
"vk_market","Orange","gr_36","t43.4_k40","Не определено","0.7647058823529411","13","13","0.0","13","0.0","0.0","6.076923076923077","00:04:12"
"vk_market","Orange","gr_37","t5_k26.1","Не определено","0.5909090909090909","13","13","0.0","13","0.0","0.0","5.461538461538462","00:03:45"
"vk_market","Orange","gr_39","t43.4_k40","Не определено","0.3170731707317073","14","13","0.0","13","0.0","0.0","5.230769230769231","00:06:52"
"vk_market","Orange","gr_47","t28.4_k63","Не определено","0.325","13","13","0.0","13","0.0","0.0","3.923076923076923","00:02:20"
"vk_market","Orange","gr_50","t43.4_k40","Не определено","0.52","14","13","0.0","13","0.0","0.0","4.923076923076923","00:03:39"
"vk_market","Orange","gr_8","t43.4_k40","Не определено","0.40625","13","13","0.0","13","0.0","0.0","5.384615384615385","00:02:43"
"vk","Orange","1030037751","176162615","Не определено","0.631578947368421","12","12","0.0","12","0.0","0.0","5.083333333333333","00:01:45"
"vk","Orange","1030088515","176899622","Не определено","0.6","12","12","0.0","12","0.0","0.0","4.333333333333333","00:01:34"
"vk_market","Orange","gr_17","t26_k76","Не определено","0.4615384615384615","12","12","0.0","12","0.0","0.0","4.75","00:02:09"
"vk_market","Orange","gr_36","t26_k76","Не определено","0.5454545454545454","12","12","0.0","12","0.0","0.0","5.25","00:02:54"
"vk_market","Orange","gr_39","t26_k76","Не определено","0.3870967741935484","12","12","0.0","12","0.0","0.0","4.833333333333333","00:02:34"
"vk_market","Orange","gr_5","t43.4_k40","Не определено","0.34285714285714286","12","12","0.0","12","0.0","0.0","4.916666666666667","00:01:51"
"vk_market","Orange","gr_7","t26_k76","Не определено","0.42857142857142855","13","12","0.0","12","0.0","0.0","6.0","00:02:41"
"vk","Orange","1030019099","175878878","Не определено","0.6111111111111112","11","11","0.0","11","0.0","0.0","6.545454545454546","00:02:19"
"vk","Orange","1030030749","176054195","Не определено","0.6111111111111112","11","11","0.0","11","0.0","0.0","4.181818181818182","00:01:43"
"vk","Orange","1030030749","176054245","Не определено","0.34375","11","11","0.0","11","0.0","0.0","5.181818181818182","00:03:22"
"vk","Orange","1030073638","176673618","Не определено","0.6470588235294117","11","11","0.0","11","0.0","0.0","5.7272727272727275","00:03:37"
"vk_market","Orange","gr_1","t28.4_k63","Не определено","0.2972972972972973","11","11","0.0","11","0.0","0.0","4.181818181818182","00:01:15"
"vk_market","Orange","gr_32","t26_k76","Не определено","0.44","11","11","0.0","11","0.0","0.0","5.363636363636363","00:02:11"
"vk_market","Orange","gr_47","t43.4_k40","Не определено","0.5","11","11","0.0","11","0.0","0.0","6.454545454545454","00:03:57"
"vk_market","Orange","gr_7","t43.4_k40","Не определено","0.4230769230769231","11","11","0.0","11","0.0","0.0","4.636363636363637","00:02:45"
"vk","Orange","1029934803","174667606","Не определено","0.4761904761904761","10","10","0.0","10","0.0","0.0","4.2","00:02:14"
"vk","Orange","1030046933","176292402","Не определено","0.5","10","10","0.0","10","0.0","0.0","4.4","00:01:15"
"vk_market","Orange","gr_19","t5_k26.1","Не определено","0.5263157894736842","10","10","0.0","10","0.0","0.0","5.3","00:02:15"
"vk_market","Orange","gr_2","t5_k26.1","Не определено","0.33333333333333326","10","10","0.0","10","0.0","0.0","4.5","00:01:56"
"vk_market","Orange","gr_21","t26_k76","Не определено","0.43478260869565216","10","10","0.0","10","0.0","0.0","4.1","00:02:06"
"vk_market","Orange","gr_28","t28.4_k63","Не определено","0.5555555555555556","12","10","0.0","10","0.0","0.0","5.4","00:02:58"
"vk_market","Orange","gr_8","t5_k26.1","Не определено","0.41666666666666674","10","10","0.0","9","0.0","0.0","4.7","00:03:02"
"vk","Orange","1029971529","175154232","Не определено","0.42857142857142855","9","9","0.0","9","0.0","0.0","5.888888888888889","00:03:23"
"vk","Orange","1029992587","175478973","Не определено","0.5294117647058824","9","9","0.0","9","0.0","0.0","5.444444444444445","00:05:13"
"vk","Orange","1030030749","176053989","Не определено","0.45","9","9","0.0","9","0.0","0.0","3.888888888888889","00:01:43"
"vk","Orange","1030030749","176054150","Не определено","0.6923076923076923","9","9","0.0","9","0.0","0.0","4.888888888888889","00:03:47"
"vk","Orange","1030030749","176054298","Не определено","0.6428571428571429","9","9","0.0","9","0.0","0.0","4.555555555555555","00:01:22"
"vk","Orange","1030064330","176549919","Не определено","0.4090909090909091","9","9","0.0","9","0.0","0.0","5.555555555555555","00:02:39"
"vk","Orange","1030064330","176550009","Не определено","0.6923076923076923","10","9","0.0","9","0.0","0.0","5.333333333333333","00:01:47"
"vk","Orange","1030088515","176899585","Не определено","0.47368421052631576","9","9","0.0","9","0.0","0.0","5.666666666666667","00:03:41"
"vk","Orange","1030113355","177301566","Не определено","0.45","9","9","0.0","9","0.0","0.0","4.111111111111111","00:01:49"
"vk_market","Orange","gr_17","t43.4_k40","Не определено","0.4090909090909091","9","9","0.0","9","0.0","0.0","5.666666666666667","00:03:05"
"vk_market","Orange","gr_3","t43.4_k40","Не определено","0.33333333333333326","9","9","0.0","9","0.0","0.0","4.666666666666667","00:01:37"
"vk_market","Orange","gr_6","t28.4_k63","Не определено","0.28125","9","9","0.0","9","0.0","0.0","4.555555555555555","00:02:15"
"vkontakte","lentavideo109","igraetsam","Не определено","Не определено","0.45","10","9","0.0","9","0.0","0.0","5.111111111111111","00:05:01"
"vkontakte","vkpost97","6oshibok","Не определено","Не определено","0.5294117647058824","9","9","0.0","9","0.0","0.0","4.0","00:03:10"
"youtube","Video139","oshzaprech","Не определено","Не определено","0.5","9","9","0.0","9","0.0","0.0","4.333333333333333","00:04:03"
"vk","Orange","1029934803","174667767","Не определено","0.4705882352941176","8","8","0.0","8","0.0","0.0","5.375","00:03:13"
"vk","Orange","1029950360","174866195","Не определено","0.4444444444444444","8","8","0.0","8","0.0","0.0","4.875","00:01:30"
"vk","Orange","1030018724","175872143","Не определено","0.33333333333333326","8","8","0.0","8","0.0","0.0","5.25","00:01:37"
"vk","Orange","1030030749","176054261","Не определено","0.38095238095238093","9","8","0.0","8","0.0","0.0","5.5","00:02:44"
"vk","Orange","1030031517","176067783","Не определено","0.5714285714285714","8","8","0.0","8","0.0","0.0","4.375","00:02:41"
"vk","Orange","1030064143","176547339","Не определено","0.5333333333333333","9","8","0.0","8","0.0","0.0","5.0","00:02:18"
"vk","Orange","1030079205","176760200","Не определено","0.5","8","8","0.0","8","0.0","0.0","5.0","00:01:09"
"vk_market","Orange","gr_18","t5_k26.1","Не определено","0.34782608695652173","9","8","0.0","8","0.0","0.0","7.0","00:02:59"
"vk_market","Orange","gr_25","t43.4_k40","Не определено","0.34782608695652173","9","8","0.0","8","0.0","0.0","5.25","00:02:39"
"vk_market","Orange","gr_29","t28.4_k63","Не определено","0.34782608695652173","8","8","0.0","8","0.0","0.0","5.5","00:02:44"
"vk_market","Orange","gr_3","t26_k76","Не определено","0.25","8","8","0.0","8","0.0","0.0","4.5","00:01:15"
"vk_market","Orange","gr_4","t26_k76","Не определено","0.4","8","8","0.0","8","0.0","0.0","4.75","00:02:57"
"vk_market","Orange","gr_47","t26_k76","Не определено","0.4705882352941176","8","8","0.0","8","0.0","0.0","5.25","00:01:47"
"vk_market","Orange","gr_48","t28.4_k63","Не определено","0.27586206896551724","8","8","0.0","8","0.0","0.0","4.875","00:01:07"
"vk_market","Orange","gr_5","t26_k76","Не определено","0.32","8","8","0.0","8","0.0","0.0","6.125","00:04:06"
"vkontakte","lentavideo105","vredmify","Не определено","Не определено","0.3076923076923077","8","8","0.0","8","0.0","0.0","4.625","00:01:58"
"youtube","Video142","razdodvuh","Не определено","Не определено","0.38095238095238093","8","8","0.0","8","0.0","0.0","3.25","00:01:11"
"vk","Orange","1029971825","175157682","Не определено","0.4666666666666666","7","7","0.0","7","0.0","0.0","4.142857142857143","00:01:13"
"vk","Orange","1029980031","175293337","Не определено","0.4375","7","7","0.0","7","0.0","0.0","4.285714285714286","00:02:14"
"vk","Orange","1029983343","175347996","Не определено","0.24137931034482757","8","7","0.0","7","0.0","0.0","6.0","00:03:31"
"vk","Orange","1029987705","175407899","Не определено","0.6363636363636364","7","7","0.0","7","0.0","0.0","5.857142857142857","00:02:48"
"vk","Orange","1029992587","175479110","Не определено","0.3684210526315789","7","7","0.0","7","0.0","0.0","4.571428571428571","00:01:25"
"vk","Orange","1030038750","176177553","Не определено","0.7","7","7","0.0","7","0.0","0.0","5.571428571428571","00:02:10"
"vk","Orange","1030042300","176224504","Не определено","0.4117647058823529","8","7","0.0","7","0.0","0.0","5.714285714285714","00:03:21"
"vk","Orange","1030064330","176549994","Не определено","0.5833333333333334","7","7","0.0","7","0.0","0.0","4.428571428571429","00:02:20"
"vk","Orange","1030079205","176752686","Не определено","0.2916666666666667","7","7","0.0","7","0.0","0.0","5.714285714285714","00:02:18"
"vk","Orange","1030097374","177036107","Не определено","0.5384615384615384","7","7","0.0","6","0.0","0.0","3.142857142857143","00:01:23"
"vk","Orange","1030101779","177109151","Не определено","0.5","7","7","0.0","7","0.0","0.0","5.285714285714286","00:01:38"
"vk","Orange","1030102830","177132144","Не определено","0.875","7","7","0.0","7","0.0","0.0","4.285714285714286","00:01:56"
"vk","Orange","knopka","Не определено","Не определено","0.10144927536231885","7","7","0.0","7","0.0","0.0","4.142857142857143","00:04:44"
"vk_market","Orange","gr_11","t28.4_k63","Не определено","0.4117647058823529","7","7","0.0","7","0.0","0.0","6.142857142857143","00:02:21"
"vk_market","Orange","gr_11","t43.4_k40","Не определено","0.33333333333333326","7","7","0.0","7","0.0","0.0","4.285714285714286","00:01:55"
"vk_market","Orange","gr_11","t5_k26.1","Не определено","0.5","7","7","0.0","7","0.0","0.0","6.0","00:02:21"
"vk_market","Orange","gr_18","t26_k76","Не определено","0.28","8","7","0.0","7","0.0","0.0","5.285714285714286","00:04:08"
"vk_market","Orange","gr_2","t24_k46.1","Не определено","0.30434782608695654","8","7","0.0","7","0.0","0.0","4.0","00:01:01"
"vk_market","Orange","gr_22","t26_k76","Не определено","0.21875","7","7","0.0","7","0.0","0.0","5.428571428571429","00:01:35"
"vk_market","Orange","gr_32","t43.4_k40","Не определено","0.4666666666666666","7","7","0.0","7","0.0","0.0","4.857142857142857","00:01:47"
"vk_market","Orange","gr_37","t57_k34","Не определено","0.3181818181818182","7","7","0.0","7","0.0","0.0","4.571428571428571","00:01:40"
"vk_market","Orange","gr_4","t43.4_k40","Не определено","0.5833333333333334","7","7","0.0","7","0.0","0.0","4.857142857142857","00:01:51"
"vk_market","Orange","gr_41","t26_k76","Не определено","0.38888888888888895","7","7","0.0","7","0.0","0.0","5.428571428571429","00:01:16"
"vk_market","Orange","gr_41","t43.4_k40","Не определено","0.5833333333333334","7","7","0.0","5","0.0","0.0","5.0","00:01:17"
"vk_market","Orange","gr_42","t26_k76","Не определено","0.7777777777777779","7","7","0.0","7","0.0","0.0","4.571428571428571","00:02:56"
"vk_market","Orange","gr_7","t5_k26.1","Не определено","0.35","8","7","0.0","7","0.0","0.0","4.428571428571429","00:01:55"
"vk_market","Orange","gr_8","t28.4_k63","Не определено","0.4117647058823529","8","7","0.0","7","0.0","0.0","6.0","00:02:04"
"vkontakte","lentavideo103","pishizb","Не определено","Не определено","0.2692307692307692","7","7","0.0","7","0.0","0.0","5.142857142857143","00:01:36"
"vkontakte","vkpost100","palchigry","Не определено","Не определено","0.3181818181818182","7","7","0.0","7","0.0","0.0","4.571428571428571","00:02:11"
"youtube","Video141","obonyanie","Не определено","Не определено","0.33333333333333326","7","7","0.0","7","0.0","0.0","5.857142857142857","00:04:25"
"youtube","Video52","kaknekrichat","Не определено","Не определено","0.5833333333333334","7","7","0.0","7","0.0","0.0","5.714285714285714","00:01:47"
"youtube","Video53","priuchkgorsh","Не определено","Не определено","0.4375","8","7","0.0","7","0.0","0.0","4.714285714285714","00:07:01"
"youtube","Video75","kakobssreb","Не определено","Не определено","0.5833333333333334","7","7","0.0","7","0.0","0.0","5.142857142857143","00:01:53"
"vk","Orange","1029930001","174599980","Не определено","0.5454545454545454","6","6","0.0","6","0.0","0.0","4.666666666666667","00:01:36"
"vk","Orange","1029934803","174665141","Не определено","0.6","6","6","0.0","6","0.0","0.0","4.666666666666667","00:01:30"
"vk","Orange","1029965696","175071551","Не определено","0.6","6","6","0.0","6","0.0","0.0","5.166666666666667","00:03:41"
"vk","Orange","1029980031","175293333","Не определено","0.2857142857142857","7","6","0.0","6","0.0","0.0","6.333333333333333","00:02:46"
"vk","Orange","1029980031","175293367","Не определено","0.42857142857142855","6","6","0.0","6","0.0","0.0","5.166666666666667","00:01:55"
"vk","Orange","1030010069","175744295","Не определено","0.6","7","6","0.0","6","0.0","0.0","5.833333333333333","00:02:00"
"vk","Orange","1030016956","175845546","Не определено","0.23076923076923075","6","6","0.0","6","0.0","0.0","5.5","00:02:03"
"vk","Orange","1030016956","175845561","Не определено","0.4","6","6","0.0","6","0.0","0.0","6.0","00:04:32"
"vk","Orange","1030016956","175845567","Не определено","0.33333333333333326","6","6","0.0","6","0.0","0.0","4.666666666666667","00:01:41"
"vk","Orange","1030030749","176053887","Не определено","0.35294117647058826","6","6","0.0","6","0.0","0.0","5.0","00:02:35"
"vk","Orange","1030031544","176068204","Не определено","0.6666666666666665","7","6","0.0","6","0.0","0.0","5.0","00:03:06"
"vk","Orange","1030037751","176162554","Не определено","0.4615384615384615","6","6","0.0","6","0.0","0.0","5.5","00:01:28"
"vk","Orange","1030057491","176452085","Не определено","0.6","6","6","0.0","6","0.0","0.0","5.833333333333333","00:01:45"
"vk","Orange","1030059618","176486624","Не определено","0.5454545454545454","6","6","0.0","6","0.0","0.0","5.333333333333333","00:01:53"
"vk","Orange","1030064330","176549958","Не определено","0.5454545454545454","6","6","0.0","6","0.0","0.0","4.333333333333333","00:01:45"
"vk","Orange","1030064939","176558154","Не определено","0.5454545454545454","6","6","0.0","6","0.0","0.0","4.666666666666667","00:03:13"
"vk","Orange","1030064939","176558178","Не определено","0.6","6","6","0.0","6","0.0","0.0","4.333333333333333","00:01:59"
"vk","Orange","1030071096","176642136","Не определено","0.6666666666666665","6","6","0.0","6","0.0","0.0","5.166666666666667","00:01:57"
"vk","Orange","1030101779","177109210","Не определено","0.6","7","6","0.0","6","0.0","0.0","3.8333333333333335","00:01:56"
"vk_market","Orange","gr_19","t26_k76","Не определено","0.4","6","6","0.0","6","0.0","0.0","4.166666666666667","00:02:03"
"vk_market","Orange","gr_19","t28.4_k63","Не определено","0.42857142857142855","8","6","0.0","6","0.0","0.0","6.666666666666667","00:03:09"
"vk_market","Orange","gr_25","t26_k76","Не определено","0.3","6","6","0.0","6","0.0","0.0","4.166666666666667","00:03:11"
"vk_market","Orange","gr_3","t24_k46.1","Не определено","0.33333333333333326","6","6","0.0","6","0.0","0.0","5.0","00:01:25"
"vk_market","Orange","gr_36","t28.4_k63","Не определено","0.2608695652173913","6","6","0.0","6","0.0","0.0","4.166666666666667","00:02:04"
"vk_market","Orange","gr_39","t5_k26.1","Не определено","0.375","6","6","0.0","6","0.0","0.0","6.166666666666667","00:02:20"
"vk_market","Orange","gr_43","t26_k76","Не определено","0.5454545454545454","8","6","0.0","6","0.0","0.0","6.666666666666667","00:03:40"
"vk_market","Orange","gr_48","t5_k26.1","Не определено","0.4","6","6","0.0","6","0.0","0.0","3.5","00:01:24"
"vk_market","Orange","gr_50","t24_k46.1","Не определено","0.5","6","6","0.0","6","0.0","0.0","5.833333333333333","00:02:01"
"vk_market","Orange","gr_6","t24_k46.1","Не определено","0.20689655172413793","6","6","0.0","6","0.0","0.0","3.5","00:01:20"
"vk_market","Orange","gr_9","t24_k46.1","Не определено","0.35294117647058826","6","6","0.0","6","0.0","0.0","4.0","00:02:30"
"yandex_ilvina","cpc","107644242","15861952843","---autotargeting","0.05357142857142857","7","6","0.0","6","0.0","0.0","7.333333333333333","00:02:59"
"youtube","Video138","vnimanie","Не определено","Не определено","0.42857142857142855","6","6","0.0","6","0.0","0.0","5.5","00:03:33"
"dzen","videodzen139","kakouspec","Не определено","Не определено","0.2631578947368421","5","5","0.0","5","0.0","0.0","6.2","00:02:17"
"vk","Orange","1029932044","174627974","Не определено","0.5","5","5","0.0","5","0.0","0.0","3.8","00:01:34"
"vk","Orange","1029955386","174934586","Не определено","0.3846153846153847","5","5","0.0","5","0.0","0.0","4.0","00:04:17"
"vk","Orange","1029966757","175101476","Не определено","0.8333333333333335","5","5","0.0","5","0.0","0.0","6.6","00:01:58"
"vk","Orange","1029967944","175103027","Не определено","0.35714285714285715","5","5","0.0","5","0.0","0.0","5.2","00:02:36"
"vk","Orange","1029971529","175154143","Не определено","0.5555555555555556","5","5","0.0","5","0.0","0.0","6.8","00:02:48"
"vk","Orange","1029971529","175154185","Не определено","0.33333333333333326","5","5","0.0","5","0.0","0.0","3.0","00:02:11"
"vk","Orange","1029980031","175293481","Не определено","0.625","5","5","0.0","5","0.0","0.0","5.4","00:02:07"
"vk","Orange","1030010069","175744342","Не определено","0.8333333333333335","5","5","0.0","5","0.0","0.0","4.2","00:01:30"
"vk","Orange","1030010824","175756113","Не определено","0.3846153846153847","5","5","0.0","5","0.0","0.0","4.6","00:01:23"
"vk","Orange","1030016956","175845367","Не определено","0.45454545454545453","5","5","0.0","5","0.0","0.0","5.6","00:02:09"
"vk","Orange","1030018724","175872084","Не определено","0.625","5","5","0.0","5","0.0","0.0","3.0","00:01:12"
"vk","Orange","1030019099","175879020","Не определено","0.3846153846153847","5","5","0.0","5","0.0","0.0","3.2","00:01:34"
"vk","Orange","1030022376","175927625","Не определено","0.45454545454545453","5","5","0.0","5","0.0","0.0","3.8","00:01:50"
"vk","Orange","1030030749","176054026","Не определено","0.35714285714285715","5","5","0.0","5","0.0","0.0","5.0","00:02:36"
"vk","Orange","1030030749","176054291","Не определено","0.5555555555555556","5","5","0.0","5","0.0","0.0","4.6","00:02:28"
"vk","Orange","1030031517","176067890","Не определено","0.625","5","5","0.0","5","0.0","0.0","4.8","00:01:59"
"vk","Orange","1030031517","176067934","Не определено","0.3846153846153847","5","5","0.0","5","0.0","0.0","4.0","00:06:44"
"vk","Orange","1030031544","176067998","Не определено","0.5555555555555556","5","5","0.0","5","0.0","0.0","4.6","00:02:00"
"vk","Orange","1030033292","176094841","Не определено","0.625","5","5","0.0","5","0.0","0.0","4.4","00:01:02"
"vk","Orange","1030037759","176162713","Не определено","0.7142857142857143","5","5","0.0","4","0.0","0.0","5.6","00:02:14"
"vk","Orange","1030038376","176172023","Не определено","0.45454545454545453","5","5","0.0","5","0.0","0.0","5.0","00:03:57"
"vk","Orange","1030042300","176224310","Не определено","0.41666666666666674","5","5","0.0","5","0.0","0.0","4.2","00:03:04"
"vk","Orange","1030042300","176224439","Не определено","0.8333333333333335","7","5","0.0","5","0.0","0.0","6.8","00:01:42"
"vk","Orange","1030046933","176292408","Не определено","0.625","5","5","0.0","5","0.0","0.0","4.2","00:01:23"
"vk","Orange","1030057491","176452026","Не определено","0.3846153846153847","5","5","0.0","5","0.0","0.0","4.2","00:01:26"
"vk","Orange","1030064330","176549798","Не определено","0.5555555555555556","5","5","0.0","5","0.0","0.0","3.8","00:01:52"
"vk","Orange","1030064330","176549998","Не определено","0.41666666666666674","5","5","0.0","5","0.0","0.0","5.0","00:03:24"
"vk","Orange","1030064346","176550307","Не определено","1.0","5","5","0.0","5","0.0","0.0","4.4","00:01:19"
"vk","Orange","1030073638","176673603","Не определено","0.5","5","5","0.0","5","0.0","0.0","5.0","00:01:37"
"vk","Orange","1030076213","176711084","Не определено","0.5555555555555556","5","5","0.0","5","0.0","0.0","5.8","00:01:59"
