Дата;Клиент;ID клиента;Кампания;ID кампании;Запись;ID записи;Потрачено, руб.;Выполненные заявки;Переходы по ссылкам; Вступления; Охват; Охват подписчиков;Отметки «Нравится»;Поделилось;Комментарии
05.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k4 group_24;4820919;514;1;3;0;2037;1795;2;0;0
05.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k2 group_19;4820891;188;1;1;0;1842;1510;2;1;0
05.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t17_k18 group_1;4820575;514;1;11;0;2516;2364;4;1;0
05.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t17_k18 group_6;4820582;257;1;1;0;2404;1893;3;1;0
05.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t17_k18 group_2;4820577;2571;1;25;0;5629;5493;7;1;0
06.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k2 group_20;4820892;857;1;10;0;4534;4426;8;0;1
06.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t17_k18 group_16;4820867;548;1;3;0;2117;2062;3;0;0
06.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k4 group_12;4820850;840;1;60;0;9617;7985;15;1;0
06.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t17_k18 group_8;4820585;325;1;12;0;6865;6826;9;0;0
06.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t17_k18 group_4;4820580;514;1;14;0;13581;13520;8;0;1
07.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t17_k18 group_22;4820930;428;1;1;0;6338;6288;2;0;0
07.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k2 group_18;4820890;788;1;12;0;5189;5050;6;0;1
07.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k2 group_9;4820621;617;1;13;0;7219;7117;5;0;0
07.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t17_k18 group_7;4820584;857;1;1;0;1186;1130;6;1;0
07.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k2 group_5;4820616;197;1;3;0;1446;1408;5;0;0
08.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k4 group_21;4820916;788;1;5;0;5969;5870;7;0;0
08.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k2 group_16;4820888;548;1;8;0;3876;3876;5;0;0
08.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k2 group_14;4820886;514;1;29;0;3411;3226;15;0;1
08.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k2 group_11;4820883;771;1;8;0;3955;3812;8;0;0
12.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k1 group_25;4820943;1200;1;2;0;1639;1338;2;0;0
12.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k1 group_19;4820881;188;1;1;0;1620;1456;4;0;0
12.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t20.1_k16 group_13;4820907;1714;1;8;0;6766;6728;10;0;1
12.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k1 group_10;4820605;480;1;6;0;3336;3231;3;0;0
12.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k1 group_6;4820600;274;1;7;0;2505;1985;3;1;0
12.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k1 group_3;4820597;857;1;29;0;2996;2949;9;1;0
12.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t20.1_k16 group_21;4820969;788;1;3;0;2599;2495;1;0;0
12.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k4 group_14;4820852;514;1;23;0;2478;2119;26;1;0
12.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k1 group_1;4820593;514;1;21;0;2461;2340;6;1;0
13.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k2 group_38;4837012;514;1;1;0;1927;1927;2;0;0
13.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k1 group_36;4836998;781;1;5;0;1306;1272;2;0;0
13.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k1 group_31;4836992;185;1;0;0;690;670;1;0;0
13.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k4 group_27;4820922;171;1;3;0;3715;3694;1;0;0
13.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k1 group_26;4820944;565;1;2;0;2743;2741;5;0;0
13.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k1 group_23;4820941;908;1;2;0;2829;2664;2;0;0
13.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k1 group_17;4820879;171;1;4;0;906;834;2;0;0
13.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k1 group_11;4820873;771;1;10;0;2897;2602;7;0;1
13.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k1 group_4;4820598;514;1;37;0;21181;20978;14;1;2
13.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k4 group_2;4820566;2571;1;24;0;3961;3922;11;1;0
13.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k4 group_18;4820856;788;1;7;0;2792;2638;4;0;0
13.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k4 group_12;4820850;840;1;33;0;9690;8533;18;0;0
14.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k1 group_39;4837002;171;1;8;0;3340;3210;2;0;0
14.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k2 group_37;4837011;291;1;7;0;3079;2997;14;1;0
14.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k1 group_34;4836996;2057;1;9;0;6115;6029;8;1;0
14.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k4 group_15;4820853;2914;1;24;0;7416;7084;14;1;0
14.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k4 group_33;4832118;565;1;2;0;1525;1492;2;0;0
14.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k1 group_32;4836993;462;1;6;0;3916;3870;3;0;0
14.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k1 group_29;4820947;857;1;6;0;2794;2768;0;0;0
14.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k4 group_28;4820924;497;1;1;0;2997;2851;3;0;0
14.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k4 group_26;4820921;565;1;1;0;2700;2595;2;0;0
14.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t20.1_k16 group_25;4820973;1200;1;2;0;1593;1288;3;0;0
14.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k1 group_24;4820942;514;1;5;0;2789;2317;0;0;0
14.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k1 group_20;4820882;1028;1;6;0;3629;3431;2;0;2
14.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t20.1_k16 group_19;4820914;188;1;0;0;1551;1368;0;0;0
14.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k4 group_16;4820854;651;1;3;0;2277;2189;3;0;0
14.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k2 group_13;4820885;1714;1;13;0;3577;3433;17;2;1
14.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t20.1_k16 group_10;4820648;480;1;4;0;5272;4991;6;0;0
14.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k4 group_8;4820572;360;1;12;0;5979;5666;17;3;0
14.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k4 group_6;4820570;274;1;2;0;2107;1570;2;0;0
14.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k1 group_5;4820599;214;1;2;0;1467;1454;2;0;0
14.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k2 group_3;4820613;857;1;44;0;4219;4113;13;0;0
14.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k4 group_9;4820573;617;1;18;0;8276;8027;13;1;0
14.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t17_k17 group_21;4820959;788;1;0;0;3177;3018;2;0;0
14.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t17_k18 group_14;4820862;514;1;27;0;2892;2479;7;0;0
14.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k2 group_1;4820607;514;1;9;0;2886;2644;7;0;0
15.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k1 group_38;4837000;514;1;3;0;1720;1681;1;0;0
15.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k2 group_36;4837010;781;1;6;0;1981;1881;10;0;0
15.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k2 group_35;4837009;171;1;10;0;4019;3884;2;0;0
15.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k1 group_33;4836994;565;1;3;0;1924;1827;2;0;0
15.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k2 group_31;4837004;185;1;2;0;596;558;1;0;0
15.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k4 group_30;4820928;221;1;4;0;1297;1256;3;0;0
15.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t17_k18 group_27;4820935;171;1;4;0;5300;5268;3;1;0
15.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k2 group_17;4820889;171;1;1;0;1200;1084;1;0;1
15.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k1 group_13;4820875;1714;1;31;0;8918;8853;30;3;1
15.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t20.1_k16 group_11;4820905;771;1;5;0;5125;4867;15;0;0
15.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k2 group_10;4820623;480;1;2;0;3191;3016;5;0;0
15.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k1 group_8;4820603;360;1;22;0;8211;7847;8;0;0
15.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k2 group_4;4820615;514;1;61;0;21842;21491;25;0;3
15.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k2 group_9;4820621;617;1;7;0;4271;4186;4;0;0
15.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k1 group_18;4820880;788;1;9;0;3363;3201;3;0;1
15.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k1 group_14;4820876;514;1;44;0;3842;3616;13;2;0
15.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k1 group_12;4820874;840;1;38;0;11245;10246;22;1;0
15.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t17_k18 group_1;4820575;514;1;9;0;3088;2845;6;0;0
16.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k1 group_7;4820601;857;1;3;0;1960;1915;26;0;0
16.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k1 group_41;4844522;308;1;7;0;4354;3968;7;0;0
16.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k2 group_39;4837014;171;1;6;0;3339;3208;2;1;0
16.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k1 group_37;4836999;291;1;6;0;3041;2987;6;2;1
16.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k4 group_32;4832117;462;1;3;0;4155;3970;10;0;0
16.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k1 group_28;4820946;497;1;8;0;3547;3372;3;0;0
16.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t20.1_k16 group_24;4820972;514;1;4;0;3816;3348;3;0;0
16.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k1 group_22;4820940;514;1;13;0;9043;8783;7;0;0
16.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t17_k17 group_20;4820903;1028;1;9;0;3855;3589;9;0;0
16.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t17_k17 group_19;4820902;188;1;0;0;1192;956;2;0;0
16.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k1 group_16;4820878;651;1;5;0;3328;3182;3;0;0
16.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k2 group_6;4820617;274;1;1;0;1909;1399;3;0;0
16.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k2 group_5;4820616;214;1;0;0;1330;1323;1;0;0
16.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t17_k18 group_3;4820579;857;1;18;0;3192;3143;7;0;0
16.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k1 group_21;4820939;788;1;4;0;2349;2163;6;1;1
17.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t17_k17 group_42;4844625;428;1;1;0;6365;6285;8;2;0
17.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k4 group_7;4820571;857;1;2;0;1084;1040;5;0;0
17.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k2 group_37;4837011;291;1;6;0;3522;3441;17;2;1
17.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k2 group_40;4837016;375;1;12;0;3359;3309;7;0;0
17.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k1 group_36;4836998;781;1;4;0;3112;3037;3;0;0
17.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k1 group_35;4836997;171;1;2;0;2448;2329;2;0;0
17.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k2 group_34;4837008;2057;1;9;0;5174;5131;2;0;0
17.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k1 group_15;4820877;2914;1;28;0;11265;10839;10;0;0
17.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k1 group_30;4820948;221;1;1;0;849;821;3;0;0
17.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k4 group_29;4820925;857;1;4;0;1932;1884;2;0;0
17.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k1 group_27;4820945;171;1;4;0;3058;3028;1;1;0
17.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t20.1_k16 group_26;4820974;565;1;2;0;3246;3212;8;0;0
17.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t20.1_k16 group_23;4820971;908;1;3;0;1752;1681;1;0;0
17.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t20.1_k16 group_17;4820912;171;1;1;0;971;901;3;1;0
17.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t17_k17 group_11;4820893;771;1;2;0;2605;2452;2;0;0
17.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k2 group_8;4820620;360;1;11;0;3346;3167;6;1;0
17.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t17_k18 group_4;4820580;514;1;20;0;15648;15490;11;0;1
17.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k1 group_2;4820596;2571;1;22;0;4396;4323;6;0;0
17.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k4 group_21;4820916;788;1;2;0;3437;3231;5;0;0
17.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t20.1_k16 group_18;4820913;788;1;4;0;4204;4130;3;0;0
17.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k2 group_12;4820884;840;1;26;0;7476;6655;7;0;0
18.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k4 group_34;4836971;2057;1;3;0;4529;4516;1;0;0
18.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k1 group_44;4844528;240;1;6;0;2519;2501;4;0;0
18.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k4 group_43;4844480;1842;1;30;0;8873;8420;18;1;1
18.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k4 group_13;4820851;1714;1;13;0;4524;4350;27;3;1
18.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k1 group_39;4837002;171;1;1;0;1956;1900;0;0;0
18.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k2 group_41;4844546;308;1;7;0;3563;3070;7;0;0
18.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k1 group_40;4837003;375;1;5;0;2396;2381;4;0;0
18.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k2 group_33;4837006;565;1;1;0;1720;1682;3;0;0
18.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k2 group_32;4837005;462;1;16;0;8368;8280;12;0;0
18.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k2 group_28;4820956;497;1;15;0;5561;5289;3;0;0
18.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k1 group_26;4820944;565;1;1;0;1705;1666;0;0;0
18.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t17_k18 group_25;4820933;1200;1;0;0;1436;1177;0;0;0
18.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t17_k17 group_24;4820962;514;1;2;0;2621;2326;2;0;0
18.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t17_k17 group_22;4820960;514;1;6;0;7869;7481;4;0;0
18.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t20.1_k16 group_19;4820914;188;1;1;0;1063;882;0;0;0
18.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k2 group_16;4820888;651;1;6;0;3012;2950;3;0;0
18.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t17_k18 group_10;4820588;480;1;6;0;5222;5164;6;0;0
18.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t17_k18 group_5;4820581;214;1;2;0;2261;2189;1;0;0
18.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k4 group_3;4820567;857;1;32;0;7916;7874;26;0;2
18.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t17_k18 group_9;4820587;617;1;2;0;3457;3348;6;0;0
18.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k2 group_14;4820886;514;1;43;0;3019;2834;18;2;0
18.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k4 group_1;4820551;514;1;6;0;1667;1530;3;0;0
19.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k4 group_38;4836978;514;1;2;0;1994;1973;3;0;0
19.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k4 group_48;4844495;426;1;4;0;3929;3912;3;0;0
19.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k4 group_46;4844490;668;1;1;0;3863;3816;1;0;0
19.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k1 group_45;4844530;857;1;2;0;2586;2447;3;0;0
19.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k1 group_42;4844525;428;1;3;0;4629;4609;4;0;0
19.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k2 group_35;4837009;171;1;5;0;4405;4159;8;1;0
19.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k2 group_36;4837010;781;1;3;0;2230;2125;5;0;0
19.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k1 group_31;4836992;185;1;1;0;596;576;2;0;0
19.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k2 group_30;4820958;221;1;1;0;1270;1268;2;0;0
19.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k2 group_27;4820955;171;1;5;0;3526;3438;2;1;0
19.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k1 group_25;4820943;1200;1;6;0;2741;2440;8;1;0
19.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k1 group_19;4820881;188;1;1;0;1157;914;1;0;0
19.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t17_k17 group_17;4820900;171;1;1;0;721;675;2;0;0
19.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k2 group_11;4820883;771;1;28;0;7584;7178;24;0;0
19.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t17_k18 group_8;4820585;360;1;3;0;4341;4130;10;0;0
19.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k4 group_4;4820568;514;1;23;0;9591;9515;9;1;1
19.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t17_k17 group_18;4820901;788;1;4;0;3086;3000;3;1;0
19.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t20.1_k16 group_12;4820906;840;1;11;0;6548;5981;16;0;0
20.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k2 group_24;4820952;514;1;7;0;2106;1957;2;0;0
20.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k4 group_47;4844493;257;1;1;0;2499;2439;3;0;0
20.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t17_k18 group_43;4844504;1842;1;23;0;8152;7953;8;2;0
20.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k2 group_2;4820611;2571;1;26;0;4213;4047;12;1;0
20.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t17_k18 group_7;4820584;857;1;5;0;3345;3277;62;2;0
20.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k1 group_37;4836999;291;1;8;0;2526;2424;15;0;1
20.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k2 group_39;4837014;171;1;3;0;2206;2182;0;0;0
20.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k1 group_41;4844522;308;1;6;0;5073;4410;5;0;0
20.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k2 group_40;4837016;375;1;7;0;3839;3736;10;1;0
20.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t17_k18 group_15;4820863;2914;1;18;0;11328;10898;16;0;0
20.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k4 group_33;4832118;565;1;1;0;1601;1588;2;0;0
